Edition,Name,Locality,Listing_Type
2014,Al Quimia,Albufeira,award winner
2014,Arcadas,Coimbra,award winner
2014,Belcanto,Lisboa,award winner
2014,Boi na Brasa,Cascais,award winner
2014,Casa Mateus,Sesimbra,award winner
2014,Cato,Aljezur,award winner
2014,Cozinha da Terra,Paredes,award winner
2014,DOC,Armamar,award winner
2014,Degust’AR,Evora,award winner
2014,Eleven,Lisboa,award winner
2014,Enoteca Cartuxa,Evora,award winner
2014,Feitoria,Lisboa,award winner
2014,Ferrugem,Vila Nova De Famalicao,award winner
2014,Fialho,Evora,award winner
2014,Flor de Sal,Mirandela,award winner
2014,Fortaleza do Guincho,Cascais,award winner
2014,Henrique Leis,Loule,award winner
2014,Hool,Guimaraes,award winner
2014,Il Gallo D'Oro,Funchal,award winner
2014,L'AND Vineyards Restaurante,Montemor O Novo,award winner
2014,MARE - Restaurante & Gin Bar,Vagos,award winner
2014,O Barão,Alijo,award winner
2014,O Cortiço,Viseu,award winner
2014,O Talho,Lisboa,award winner
2014,Ocean,Lagoa Algarve,award winner
2014,Pequeno Mundo,Loule,award winner
2014,Solar dos Presuntos,Lisboa,award winner
2014,São Gião,Guimaraes,award winner
2014,The Yeatman,Vila Nova De Gaia,award winner
2014,Vila Joya,Albufeira,award winner
2015,A Cevicheria,Lisboa,award winner
2015,Arcadas,Coimbra,award winner
2015,Areias do Seixo,Torres Vedras,award winner
2015,Bastardo,Lisboa,award winner
2015,Belcanto,Lisboa,award winner
2015,Boi-Cavalo,Lisboa,award winner
2015,Cantina 32,Porto,award winner
2015,Cantinho do Avillez,Porto,award winner
2015,Casa de Chá da Boa Nova,Matosinhos,award winner
2015,Casta 85,Alenquer,award winner
2015,Cozinha da Terra,Paredes,award winner
2015,Degust’AR,Evora,award winner
2015,Dourum,Vila Nova De Gaia,award winner
2015,Egoísta,Povoa De Varzim,award winner
2015,Eleven,Lisboa,award winner
2015,Encosta da Muralha,Castelo Branco,award winner
2015,Feitoria,Lisboa,award winner
2015,Ferrugem,Vila Nova De Famalicao,award winner
2015,Fialho,Evora,award winner
2015,Fio D'Azeite,Aljustrel,award winner
2015,Fortaleza do Guincho,Cascais,award winner
2015,Frida - Cocina Mestiza,Porto,award winner
2015,G Pousada Restaurante,Braganca,award winner
2015,Henrique Leis,Loule,award winner
2015,Il Gallo D'Oro,Funchal,award winner
2015,Incomum by Luis Santos,Sintra,award winner
2015,L'AND Vineyards Restaurante,Montemor O Novo,award winner
2015,Largo do Paço,Amarante,award winner
2015,Marisco na Praça,Cascais,award winner
2015,Mesa de Lemos,Viseu,award winner
2015,Ocean,Lagoa Algarve,award winner
2015,Pedro Lemos,Porto,award winner
2015,Pequeno Mundo,Loule,award winner
2015,Reitoria,Porto,award winner
2015,Restaurante do Lousada Country Hotel,Lousada,award winner
2015,Santa Maria,Funchal,award winner
2015,São Gião,Guimaraes,award winner
2015,Tapas Bar,Figueira Da Foz,award winner
2015,Tasca das Tias,Angra Do Heroismo,award winner
2015,The Yeatman,Vila Nova De Gaia,award winner
2015,Vallecula,Guarda,award winner
2015,Vila Joya,Albufeira,award winner
2015,À Terra Praia Verde,Castro Marim,award winner
2016,1300 Taberna,Lisboa,full guide listing
2016,1858 BB Gourmet Criativo,Porto,full guide listing
2016,2 Passos,Loule,full guide listing
2016,3 Pipos,Tondela,full guide listing
2016,7 à 7,Moncao,full guide listing
2016,A Azenha do Mar,Odemira,full guide listing
2016,A Barca - Tranquitanas,Odemira,full guide listing
2016,A Bolota,Elvas,full guide listing
2016,A Cabana,Esposende,full guide listing
2016,A Cadeia Quinhentista,Estremoz,full guide listing
2016,A Carvalheira,Ponte De Lima,full guide listing
2016,A Cavalariça,Castro Verde,full guide listing
2016,A Celeste,Nazare,full guide listing
2016,A Cevicheria,Lisboa,full guide listing
2016,A Charrette,Monchique,full guide listing
2016,A Comidinha,Lagos,full guide listing
2016,A Cozinha do Manel,Porto,full guide listing
2016,A Escola,Alcacer Do Sal,full guide listing
2016,A Esquina,Barrancos,full guide listing
2016,A Estrela da Mó,Vila Nova De Poiares,full guide listing
2016,A Lareira,Mogadouro,full guide listing
2016,A Luciana,Oliveira De Frades,full guide listing
2016,A Lúria,Tomar,full guide listing
2016,A Maria,Alandroal,full guide listing
2016,A Marisqueira Ribamar,Mafra,full guide listing
2016,A Moagem,Montemor O Velho,full guide listing
2016,A Taberna,Coimbra,full guide listing
2016,A Talha,Chaves,full guide listing
2016,A Talha de Azeite,Grandola,full guide listing
2016,A Tulha,Ponte De Lima,full guide listing
2016,Abrigo do Pastor,Santa Cruz,full guide listing
2016,Adega Faustino,Chaves,full guide listing
2016,Adega Monhé,Santa Maria Da Feira,full guide listing
2016,Adega Popular,Fafe,full guide listing
2016,Adega Regional Sete Condes,Mondim De Basto,full guide listing
2016,Adega Típica 25 de Abril,Beja,full guide listing
2016,Adega Velha,Mourao,full guide listing
2016,Adega de São Mateus,Angra Do Heroismo,full guide listing
2016,Adega de São Nicolau,Porto,full guide listing
