City,Name,Michelin_Award,Main_Menu,Google_Category,Avg_Price_EUR,Maps_Url
Barcelona,Avenir,Bib Gourmand,Contemporary,Restaurant,35,https://www.google.com/maps/search/?api=1&query=Avenir%2C%20Carrer%20de%20l%27Avenir%2072%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Bacaro,Bib Gourmand,Italian,Italian restaurant,35,https://www.google.com/maps/search/?api=1&query=Bacaro%2C%20Jerusalem%206%2C%20Barcelona%2C%2008001%2C%20Spain
Barcelona,Bardeni-Caldeni,Bib Gourmand,Meats and Grills,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Bardeni-Caldeni%2C%20Valencia%20454%2C%20Barcelona%2C%2008013%2C%20Spain
Barcelona,Berbena,Bib Gourmand,Creative,Restaurant,50,https://www.google.com/maps/search/?api=1&query=Berbena%2C%20Minerva%206%2C%20Barcelona%2C%2008006%2C%20Spain
Barcelona,Cruix,Bib Gourmand,Contemporary,Restaurant,58,https://www.google.com/maps/search/?api=1&query=Cruix%2C%20Enten%C3%A7a%2057%2C%20Barcelona%2C%2008015%2C%20Spain
Barcelona,Glug,Bib Gourmand,Creative,Restaurant,35,https://www.google.com/maps/search/?api=1&query=Glug%2C%20Viladomat%20289%2C%20Barcelona%2C%2008029%2C%20Spain
Barcelona,Oníric,Bib Gourmand,Fusion,Restaurant,48,https://www.google.com/maps/search/?api=1&query=On%C3%ADric%2C%20Rabassa%2037%2C%20Barcelona%2C%2008024%2C%20Spain
Barcelona,Saó,Bib Gourmand,Creative,Restaurant,60,https://www.google.com/maps/search/?api=1&query=Sa%C3%B3%2C%20Cesare%20Cant%C3%B9%202%2C%20Barcelona%2C%2008023%2C%20Spain
Barcelona,Amar Barcelona,Selected,Contemporary,Restaurant,145,https://www.google.com/maps/search/?api=1&query=Amar%20Barcelona%2C%20Gran%20Via%20de%20les%20Corts%20Catalanes%20668%2C%20Barcelona%2C%2008010%2C%20Spain
Barcelona,AÜC,Selected,Regional Cuisine,Bar,35,https://www.google.com/maps/search/?api=1&query=A%C3%9CC%2C%20Pla%C3%A7a%20del%20Camp%207%2C%20Barcelona%2C%2008022%2C%20Spain
Barcelona,Batea,Selected,Seafood,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Batea%2C%20Gran%20Via%20de%20Les%20Corts%20Catalanes%20605%2C%20Barcelona%2C%2008007%2C%20Spain
Barcelona,Besta,Selected,Farm to table,Restaurant,78,https://www.google.com/maps/search/?api=1&query=Besta%2C%20Aribau%20106%2C%20Barcelona%2C%2008036%2C%20Spain
Barcelona,Can Bo,Selected,Modern Cuisine,Restaurant,50,https://www.google.com/maps/search/?api=1&query=Can%20Bo%2C%20Via%20Laietana%2030%2C%20Barcelona%2C%2008003%2C%20Spain
