City,Name,Michelin_Award,Main_Menu,Google_Category,Avg_Price_EUR,Maps_Url
Lisboa,100 Maneiras,Selected,Creative,Fine dining restaurant,160,https://www.google.com/maps/search/?api=1&query=100%20Maneiras%2C%20Lisboa%2C%20Portugal
Lisboa,1300 Taberna,,,,,https://www.google.com/maps/search/?api=1&query=1300%20Taberna%2C%20Lisboa%2C%20Portugal
Lisboa,A Cevicheria,,,Restaurant,42,https://www.google.com/maps/search/?api=1&query=A%20Cevicheria%2C%20Lisboa%2C%20Portugal
Lisboa,Adega da Tia Matilde,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Adega%20da%20Tia%20Matilde%2C%20Lisboa%2C%20Portugal
Lisboa,Al Garage,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Al%20Garage%2C%20Lisboa%2C%20Portugal
Lisboa,Alma,,,Restaurant,145,https://www.google.com/maps/search/?api=1&query=Alma%2C%20Lisboa%2C%20Portugal
Lisboa,Aqui Há Peixe,,,Seafood restaurant,,https://www.google.com/maps/search/?api=1&query=Aqui%20H%C3%A1%20Peixe%2C%20Lisboa%2C%20Portugal
Lisboa,Ararate,,,Armenian restaurant,,https://www.google.com/maps/search/?api=1&query=Ararate%2C%20Lisboa%2C%20Portugal
Lisboa,Bastardo,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Bastardo%2C%20Lisboa%2C%20Portugal
Lisboa,Belcanto,,,Portuguese restaurant,295,https://www.google.com/maps/search/?api=1&query=Belcanto%2C%20Lisboa%2C%20Portugal
Lisboa,Bistro 100 Maneiras,,,European restaurant,,https://www.google.com/maps/search/?api=1&query=Bistro%20100%20Maneiras%2C%20Lisboa%2C%20Portugal
Lisboa,Bistrô4,,,Bistro,,https://www.google.com/maps/search/?api=1&query=Bistr%C3%B44%2C%20Lisboa%2C%20Portugal
Lisboa,Boi-Cavalo,,,,,https://www.google.com/maps/search/?api=1&query=Boi-Cavalo%2C%20Lisboa%2C%20Portugal
Lisboa,Bonsai Restaurante Japonês,,,,,https://www.google.com/maps/search/?api=1&query=Bonsai%20Restaurante%20Japon%C3%AAs%2C%20Lisboa%2C%20Portugal
Lisboa,Café Garrett by Ohana,,,,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Garrett%20by%20Ohana%2C%20Lisboa%2C%20Portugal
Lisboa,Café Portugal,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Portugal%2C%20Lisboa%2C%20Portugal
Lisboa,Café Príncipe Real,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Pr%C3%ADncipe%20Real%2C%20Lisboa%2C%20Portugal
Lisboa,Café de São Bento,,,Steak house,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20de%20S%C3%A3o%20Bento%2C%20Lisboa%2C%20Portugal
Lisboa,Canalha,Bib Gourmand,Farm to table,Restaurant,35,https://www.google.com/maps/search/?api=1&query=Canalha%2C%20Lisboa%2C%20Portugal
Lisboa,Cantinho do Avillez,,,Restaurant,34,https://www.google.com/maps/search/?api=1&query=Cantinho%20do%20Avillez%2C%20Lisboa%2C%20Portugal
Lisboa,Casa de Pasto,,,,,https://www.google.com/maps/search/?api=1&query=Casa%20de%20Pasto%2C%20Lisboa%2C%20Portugal
Lisboa,Cave 23,,,,,https://www.google.com/maps/search/?api=1&query=Cave%2023%2C%20Lisboa%2C%20Portugal
Lisboa,Ceia,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Ceia%2C%20Lisboa%2C%20Portugal
Lisboa,Cervejaria Liberdade,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Cervejaria%20Liberdade%2C%20Lisboa%2C%20Portugal
Lisboa,Cervejaria Ramiro,,,Seafood restaurant,,https://www.google.com/maps/search/?api=1&query=Cervejaria%20Ramiro%2C%20Lisboa%2C%20Portugal
Lisboa,Chapitô à Mesa,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Chapit%C3%B4%20%C3%A0%20Mesa%2C%20Lisboa%2C%20Portugal
Lisboa,Chutnify,,,Indian restaurant,,https://www.google.com/maps/search/Chutnify%20restaurante%20Lisboa/?hl=en
Lisboa,Come Prima,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Come%20Prima%2C%20Lisboa%2C%20Portugal
Lisboa,Comida de Santo,,,Brazilian restaurant,,https://www.google.com/maps/search/?api=1&query=Comida%20de%20Santo%2C%20Lisboa%2C%20Portugal
Lisboa,Cura,,,Portuguese restaurant,120,https://www.google.com/maps/search/?api=1&query=Cura%2C%20Lisboa%2C%20Portugal
Lisboa,D'Bacalhau,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=D%27Bacalhau%2C%20Lisboa%2C%20Portugal
Lisboa,Dom Feijão,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Dom%20Feij%C3%A3o%2C%20Lisboa%2C%20Portugal
Lisboa,DownUnder by Justin Jennings,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=DownUnder%20by%20Justin%20Jennings%2C%20Lisboa%2C%20Portugal
Lisboa,EPUR,,,Fine dining restaurant,,https://www.google.com/maps/search/?api=1&query=EPUR%2C%20Lisboa%2C%20Portugal
Lisboa,Eleven,,,Mediterranean restaurant,95,https://www.google.com/maps/search/?api=1&query=Eleven%2C%20Lisboa%2C%20Portugal
Lisboa,Eneko Lisboa,,,,,https://www.google.com/maps/search/?api=1&query=Eneko%20Lisboa%2C%20Lisboa%2C%20Portugal
Lisboa,Estórias na Casa da Comida,,,Event venue,,https://www.google.com/maps/search/?api=1&query=Est%C3%B3rias%20na%20Casa%20da%20Comida%2C%20Lisboa%2C%20Portugal
Lisboa,Feitoria,,,Fine dining restaurant,150,https://www.google.com/maps/search/?api=1&query=Feitoria%2C%20Lisboa%2C%20Portugal
Lisboa,Fifty Seconds,,,Fine dining restaurant,205,https://www.google.com/maps/search/?api=1&query=Fifty%20Seconds%2C%20Lisboa%2C%20Portugal
Lisboa,Gambrinus,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Gambrinus%2C%20Lisboa%2C%20Portugal
Lisboa,Geographia,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Geographia%2C%20Lisboa%2C%20Portugal
Lisboa,Il Mercato,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Il%20Mercato%2C%20Lisboa%2C%20Portugal
Lisboa,Infame,,,Fusion restaurant,,https://www.google.com/maps/search/?api=1&query=Infame%2C%20Lisboa%2C%20Portugal
Lisboa,JNcQUOI ASIA,,,Asian restaurant,,https://www.google.com/maps/search/?api=1&query=JNcQUOI%20ASIA%2C%20Lisboa%2C%20Portugal
Lisboa,JNcQUOI Avenida,,,Restaurant,85,https://www.google.com/maps/search/?api=1&query=JNcQUOI%20Avenida%2C%20Lisboa%2C%20Portugal
Lisboa,Jesus é Goês,,,Goan restaurant,,https://www.google.com/maps/search/?api=1&query=Jesus%20%C3%A9%20Go%C3%AAs%2C%20Lisboa%2C%20Portugal
Lisboa,Kanazawa,,,Japanese restaurant,100,https://www.google.com/maps/search/?api=1&query=Kanazawa%2C%20Lisboa%2C%20Portugal
Lisboa,LOCO,,,Fine dining restaurant,160,https://www.google.com/maps/search/?api=1&query=LOCO%2C%20Lisboa%2C%20Portugal
Lisboa,Lapa,,,Restaurant,,https://www.google.com/maps/search/Lapa%20restaurante%20Lisboa/?hl=en
Lisboa,"Marlene,",,,Fine dining restaurant,130,https://www.google.com/maps/search/?api=1&query=Marlene%2C%2C%20Lisboa%2C%20Portugal
Lisboa,Memória,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Mem%C3%B3ria%2C%20Lisboa%2C%20Portugal
Lisboa,Mesón Andaluz,,,Spanish restaurant,,https://www.google.com/maps/search/?api=1&query=Mes%C3%B3n%20Andaluz%2C%20Lisboa%2C%20Portugal
Lisboa,Mezze Portugal by Pão a Pão,,,Middle Eastern restaurant,,https://www.google.com/maps/search/?api=1&query=Mezze%20Portugal%20by%20P%C3%A3o%20a%20P%C3%A3o%2C%20Lisboa%2C%20Portugal
Lisboa,Miss Jappa,,,Japanese restaurant,,https://www.google.com/maps/search/?api=1&query=Miss%20Jappa%2C%20Lisboa%2C%20Portugal
Lisboa,Mwana Pwo,,,,,https://www.google.com/maps/search/?api=1&query=Mwana%20Pwo%2C%20Lisboa%2C%20Portugal
Lisboa,Nunes Real Marisqueira,,,Seafood restaurant,55,https://www.google.com/maps/search/?api=1&query=Nunes%20Real%20Marisqueira%2C%20Lisboa%2C%20Portugal
Lisboa,O Boteco,,,Steak house,,https://www.google.com/maps/search/?api=1&query=O%20Boteco%2C%20Lisboa%2C%20Portugal
Lisboa,O Cantinho do Aziz,,,African restaurant,,https://www.google.com/maps/search/?api=1&query=O%20Cantinho%20do%20Aziz%2C%20Lisboa%2C%20Portugal
Lisboa,O Magano,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=O%20Magano%2C%20Lisboa%2C%20Portugal
Lisboa,O Nobre,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=O%20Nobre%2C%20Lisboa%2C%20Portugal
Lisboa,O Talho,Selected,Meats and Grills,Restaurant,55,https://www.google.com/maps/search/?api=1&query=O%20Talho%2C%20Lisboa%2C%20Portugal
Lisboa,Olivier Avenida,,,Restaurant,,https://www.google.com/maps/search/Olivier%20Avenida%20restaurante%20Lisboa/?hl=en
Lisboa,Open Brasserie Mediterrânica,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Open%20Brasserie%20Mediterr%C3%A2nica%2C%20Lisboa%2C%20Portugal
Lisboa,Os Tibetanos,,,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Os%20Tibetanos%2C%20Lisboa%2C%20Portugal
Lisboa,Pabe,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Pabe%2C%20Lisboa%2C%20Portugal
Lisboa,Panorama,,,,,https://www.google.com/maps/search/?api=1&query=Panorama%2C%20Lisboa%2C%20Portugal
Lisboa,Pap'açorda,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Pap%27a%C3%A7orda%2C%20Lisboa%2C%20Portugal
Lisboa,Paço da Rainha,,,,,https://www.google.com/maps/search/?api=1&query=Pa%C3%A7o%20da%20Rainha%2C%20Lisboa%2C%20Portugal
Lisboa,Peixaria da Esquina,,,,,https://www.google.com/maps/search/?api=1&query=Peixaria%20da%20Esquina%2C%20Lisboa%2C%20Portugal
Lisboa,Populi,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Populi%2C%20Lisboa%2C%20Portugal
Lisboa,Prado,,,Restaurant,32,https://www.google.com/maps/search/?api=1&query=Prado%2C%20Lisboa%2C%20Portugal
Lisboa,Praia no Parque,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Praia%20no%20Parque%2C%20Lisboa%2C%20Portugal
Lisboa,Quanjude,,,,,https://www.google.com/maps/search/?api=1&query=Quanjude%2C%20Lisboa%2C%20Portugal
Lisboa,RIB - Beef & Wine,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=RIB%20-%20Beef%20%26%20Wine%2C%20Lisboa%2C%20Portugal
Lisboa,Rabo d'Pêxe,,,,,https://www.google.com/maps/search/?api=1&query=Rabo%20d%27P%C3%AAxe%2C%20Lisboa%2C%20Portugal
Lisboa,SEM,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=SEM%2C%20Lisboa%2C%20Portugal
Lisboa,Sabores de Goa,,,Goan restaurant,,https://www.google.com/maps/search/?api=1&query=Sabores%20de%20Goa%2C%20Lisboa%2C%20Portugal
Lisboa,Sala de Corte,,,Steak house,,https://www.google.com/maps/search/?api=1&query=Sala%20de%20Corte%2C%20Lisboa%2C%20Portugal
Lisboa,Salsa e Coentros,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Salsa%20e%20Coentros%2C%20Lisboa%2C%20Portugal
Lisboa,Sea Me Peixaria Moderna,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Sea%20Me%20Peixaria%20Moderna%2C%20Lisboa%2C%20Portugal
Lisboa,Seen Lisboa,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Seen%20Lisboa%2C%20Lisboa%2C%20Portugal
Lisboa,Selllva,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Selllva%2C%20Lisboa%2C%20Portugal
Lisboa,Sem Dúvida,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Sem%20D%C3%BAvida%2C%20Lisboa%2C%20Portugal
Lisboa,Solar dos Nunes,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Solar%20dos%20Nunes%2C%20Lisboa%2C%20Portugal
Lisboa,Solar dos Presuntos,,,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Solar%20dos%20Presuntos%2C%20Lisboa%2C%20Portugal
Lisboa,Sommelier Lisbon,,,,,https://www.google.com/maps/search/?api=1&query=Sommelier%20Lisbon%2C%20Lisboa%2C%20Portugal
Lisboa,Soão - Taberna Asiática,,,Pan-Asian restaurant,,https://www.google.com/maps/search/?api=1&query=So%C3%A3o%20-%20Taberna%20Asi%C3%A1tica%2C%20Lisboa%2C%20Portugal
Lisboa,Suba,Selected,Contemporary,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Suba%2C%20Lisboa%2C%20Portugal
Lisboa,Sála de João Sá,,,Fine dining restaurant,155,https://www.google.com/maps/search/?api=1&query=S%C3%A1la%20de%20Jo%C3%A3o%20S%C3%A1%2C%20Lisboa%2C%20Portugal
Lisboa,Taberna - Bairro do Avillez,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Taberna%20-%20Bairro%20do%20Avillez%2C%20Lisboa%2C%20Portugal
Lisboa,Taberna Sal Grosso,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Taberna%20Sal%20Grosso%2C%20Lisboa%2C%20Portugal
Lisboa,Taberna da Rua das Flores,,,Bistro,,https://www.google.com/maps/search/?api=1&query=Taberna%20da%20Rua%20das%20Flores%2C%20Lisboa%2C%20Portugal
Lisboa,Taberna do Calhau,,,,,https://www.google.com/maps/search/?api=1&query=Taberna%20do%20Calhau%2C%20Lisboa%2C%20Portugal
Lisboa,Tasca da Esquina,,,European restaurant,,https://www.google.com/maps/search/?api=1&query=Tasca%20da%20Esquina%2C%20Lisboa%2C%20Portugal
Lisboa,Terraço BAHR,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Terra%C3%A7o%20BAHR%2C%20Lisboa%2C%20Portugal
Lisboa,The Old House,,,Chinese restaurant,,https://www.google.com/maps/search/?api=1&query=The%20Old%20House%2C%20Lisboa%2C%20Portugal
Lisboa,Tágide,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=T%C3%A1gide%2C%20Lisboa%2C%20Portugal
Lisboa,Valle Flôr,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Valle%20Fl%C3%B4r%2C%20Lisboa%2C%20Portugal
Lisboa,Varanda,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Varanda%2C%20Lisboa%2C%20Portugal
Lisboa,Via Graça,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Via%20Gra%C3%A7a%2C%20Lisboa%2C%20Portugal
Lisboa,Viva Lisboa,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Viva%20Lisboa%2C%20Lisboa%2C%20Portugal
Lisboa,Volver de Carne y Alma,,,Argentinian restaurant,,https://www.google.com/maps/search/?api=1&query=Volver%20de%20Carne%20y%20Alma%2C%20Lisboa%2C%20Portugal
Lisboa,Yakuza by Olivier,,,Japanese restaurant,,https://www.google.com/maps/search/?api=1&query=Yakuza%20by%20Olivier%2C%20Lisboa%2C%20Portugal
Lisboa,Ânfora,,,,,https://www.google.com/maps/search/?api=1&query=%C3%82nfora%2C%20Lisboa%2C%20Portugal
Porto,1858 BB Gourmet Criativo,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=1858%20BB%20Gourmet%20Criativo%2C%20Porto%2C%20Portugal
Porto,A Cozinha do Manel,,,Restaurant,28,https://www.google.com/maps/search/?api=1&query=A%20Cozinha%20do%20Manel%2C%20Porto%2C%20Portugal
Porto,Adega de São Nicolau,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Adega%20de%20S%C3%A3o%20Nicolau%2C%20Porto%2C%20Portugal
Porto,Almeja,Selected,Contemporary,Fine dining restaurant,50,https://www.google.com/maps/search/?api=1&query=Almeja%2C%20Porto%2C%20Portugal
Porto,Antiqvvm,,,Fine dining restaurant,200,https://www.google.com/maps/search/?api=1&query=Antiqvvm%2C%20Porto%2C%20Portugal
Porto,Antunes,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Antunes%2C%20Porto%2C%20Portugal
Porto,Astória,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Ast%C3%B3ria%2C%20Porto%2C%20Portugal
Porto,Atrevo,Selected,Contemporary,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Atrevo%2C%20Porto%2C%20Portugal
Porto,BH Foz,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=BH%20Foz%2C%20Porto%2C%20Portugal
Porto,Belos Aires,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Belos%20Aires%2C%20Porto%2C%20Portugal
Porto,Boa-Bao,,,Pan-Asian restaurant,,https://www.google.com/maps/search/?api=1&query=Boa-Bao%2C%20Porto%2C%20Portugal
Porto,Cafeína,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Cafe%C3%ADna%2C%20Porto%2C%20Portugal
Porto,Cantina 32,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Cantina%2032%2C%20Porto%2C%20Portugal
Porto,Cantinho do Avillez,,,Portuguese restaurant,34,https://www.google.com/maps/search/?api=1&query=Cantinho%20do%20Avillez%2C%20Porto%2C%20Portugal
Porto,Casa D'oro,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Casa%20D%27oro%2C%20Porto%2C%20Portugal
Porto,Casa Nanda,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Casa%20Nanda%2C%20Porto%2C%20Portugal
Porto,Casa de Pasto da Palmeira,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Casa%20de%20Pasto%20da%20Palmeira%2C%20Porto%2C%20Portugal
Porto,Casario,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Casario%2C%20Porto%2C%20Portugal
Porto,Cervejaria Brasão Aliados,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Cervejaria%20Bras%C3%A3o%20Aliados%2C%20Porto%2C%20Portugal
Porto,Cozinha das Flores,Selected,Modern Cuisine,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Cozinha%20das%20Flores%2C%20Porto%2C%20Portugal
Porto,Cruel,,,,,https://www.google.com/maps/search/Cruel%20restaurante%20Porto/?hl=en
Porto,DOP,,,Fine dining restaurant,75,https://www.google.com/maps/search/?api=1&query=DOP%2C%20Porto%2C%20Portugal
Porto,Digby,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Digby%2C%20Porto%2C%20Portugal
Porto,Elemento,Selected,Modern Cuisine,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Elemento%2C%20Porto%2C%20Portugal
Porto,Euskalduna Studio,,,Fine dining restaurant,160,https://www.google.com/maps/search/?api=1&query=Euskalduna%20Studio%2C%20Porto%2C%20Portugal
Porto,Flor de Lis,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Flor%20de%20Lis%2C%20Porto%2C%20Portugal
Porto,Flow Restaurant & Bar,,,Fusion restaurant,,https://www.google.com/maps/search/?api=1&query=Flow%20Restaurant%20%26%20Bar%2C%20Porto%2C%20Portugal
Porto,Frida - Cocina Mestiza,,,Mexican restaurant,,https://www.google.com/maps/search/?api=1&query=Frida%20-%20Cocina%20Mestiza%2C%20Porto%2C%20Portugal
Porto,Galeria do Largo,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Galeria%20do%20Largo%2C%20Porto%2C%20Portugal
Porto,Ichiban,,,,,https://www.google.com/maps/search/?api=1&query=Ichiban%2C%20Porto%2C%20Portugal
Porto,In Diferente,,,Fine dining restaurant,110,https://www.google.com/maps/search/?api=1&query=In%20Diferente%2C%20Porto%2C%20Portugal
Porto,Le Monument,,,Fine dining restaurant,,https://www.google.com/maps/search/?api=1&query=Le%20Monument%2C%20Porto%2C%20Portugal
Porto,MUU Steakhouse,,,Steak house,,https://www.google.com/maps/search/?api=1&query=MUU%20Steakhouse%2C%20Porto%2C%20Portugal
Porto,Mistu,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Mistu%2C%20Porto%2C%20Portugal
Porto,Mito,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Mito%2C%20Porto%2C%20Portugal
Porto,Mundo,,,,,https://www.google.com/maps/search/?api=1&query=Mundo%2C%20Porto%2C%20Portugal
Porto,O Buraco,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=O%20Buraco%2C%20Porto%2C%20Portugal
Porto,O Paparico,,,,100,https://www.google.com/maps/search/?api=1&query=O%20Paparico%2C%20Porto%2C%20Portugal
Porto,O Rápido,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=O%20R%C3%A1pido%2C%20Porto%2C%20Portugal
Porto,ODE Porto Wine House,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=ODE%20Porto%20Wine%20House%2C%20Porto%2C%20Portugal
Porto,Oficina,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Oficina%2C%20Porto%2C%20Portugal
Porto,Pedro Lemos,,,Fine dining restaurant,110,https://www.google.com/maps/search/?api=1&query=Pedro%20Lemos%2C%20Porto%2C%20Portugal
Porto,Pisca,,,,,https://www.google.com/maps/search/Pisca%20restaurante%20Porto/?hl=en
Porto,Portarossa,,,Italian restaurant,,https://www.google.com/maps/search/?api=1&query=Portarossa%2C%20Porto%2C%20Portugal
Porto,Porto Novo,,,Restaurant,,https://www.google.com/maps/search/Porto%20Novo%20restaurante%20Porto/?hl=en
Porto,Portucale,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Portucale%2C%20Porto%2C%20Portugal
Porto,Puro 4050,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Puro%204050%2C%20Porto%2C%20Portugal
Porto,Páteo das Flores,,,,,https://www.google.com/maps/search/?api=1&query=P%C3%A1teo%20das%20Flores%2C%20Porto%2C%20Portugal
Porto,Real Indiana,,,Indian restaurant,,https://www.google.com/maps/search/?api=1&query=Real%20Indiana%2C%20Porto%2C%20Portugal
Porto,Reitoria,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Reitoria%2C%20Porto%2C%20Portugal
Porto,Rib Beef & Wine Porto,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Rib%20Beef%20%26%20Wine%20Porto%2C%20Porto%2C%20Portugal
Porto,SHIKO - Tasca Japonesa,,,Japanese restaurant,,https://www.google.com/maps/search/?api=1&query=SHIKO%20-%20Tasca%20Japonesa%2C%20Porto%2C%20Portugal
Porto,Sagardi,,,Basque restaurant,,https://www.google.com/maps/search/?api=1&query=Sagardi%2C%20Porto%2C%20Portugal
Porto,Taberna dos Mercadores,,,Portuguese restaurant,,https://www.google.com/maps/search/?api=1&query=Taberna%20dos%20Mercadores%2C%20Porto%2C%20Portugal
Porto,Terra,,,Sushi restaurant,,https://www.google.com/maps/search/?api=1&query=Terra%2C%20Porto%2C%20Portugal
Porto,Tia Orlanda,,,African restaurant,,https://www.google.com/maps/search/?api=1&query=Tia%20Orlanda%2C%20Porto%2C%20Portugal
Porto,Torreão,,,Restaurant,,https://www.google.com/maps/search/?api=1&query=Torre%C3%A3o%2C%20Porto%2C%20Portugal
