City	Name	Avg_EUR	Price_Detail	Source
Barcelona	Alkimia	188	tasting menu €188; lunch "La Taula del Migdia" €110	alkimia.cat / bcnrestaurantes
Barcelona	Angle	80	lunch €45; menus €60 / €80 / €90	anglebarcelona.com / michelin
Barcelona	Atempo	120	tasting €120 (+€60 pairing); TheFork avg €188	thefork
Barcelona	Hisop	85	9-course tasting €85-90 (+€110 w/ pairing)	fodors / frommers
Barcelona	Hofmann	70	avg €70; 6-course dinner €91	thefork / restaurantguru
Barcelona	Moments	143	tasting €125-143; TheFork avg €190	thefork / mandarinoriental
Barcelona	Prodigi	95	tasting €95; lunch 3-course €45; pairing €45	thefork / restaurantguru
Barcelona	Quirat	135	18K €110 / 24K €160; avg €125	thefork / jre.eu
Barcelona	Via Veneto	80	avg €80; mains €28-50; tasting €90	restaurantguru / frommers
Barcelona	Avenir	35	weekday lunch €32.95; pescatarian menu €82.50; avg €35	thefork / avenir.restaurant
Barcelona	Bacaro	35	avg €30-35; €30-40 pp dinner	thefork / restaurantguru
Barcelona	Bardeni-Caldeni	45	avg €45; tapas €4-12/item	thefork / bardeni.es
Barcelona	Berbena	50	avg €40; recent reviews €60-80 pp	restaurantguru / tripadvisor
Barcelona	Cruix	58	10-course €58; 14-course €82	fodors / thefork
Barcelona	Glug	35	avg €35 (8 plates + wine); €30-50 pp	restaurantguru / foodieinbarcelona
Barcelona	Oníric	48	Herrén lunch €26; Oníric €48; Somni €80	thefork / enprimeurclub
Barcelona	Saó	60	midday set €24.50; avg €60; menus €25-75	thefork / bcnrestaurantes
Barcelona	Amar Barcelona	145	tasting "Amar Lentamente" €145; lunch €55/€75/€95	hotelpalacebarcelona.com
Barcelona	AÜC	35	€30-40 pp	restaurantguru
Barcelona	Batea	55	avg €50-55 excl. drinks; some report €60-70	thefork / bateabarcelona.com
Barcelona	Besta	78	tasting 9-course €78; Festival 12-course €95	bestabarcelona.com / thefork
Barcelona	Can Bo	50	chef's tasting menu ~€50; wine pairing min €25	grandhotelcentral.com
Barcelona	Capet	75	tasting €75 (5c) / €90 (8c); avg €70	thefork / capetrestaurant.com
Barcelona	Compartir Barcelona	100	avg €100; tasting from €115	thefork / michelin
Barcelona	Deliri	60	avg €45; dinner reports €70-80 pp	thefork / restaurantguru
Barcelona	DIREKTE	82	7-course €45 / 10-course €56; long menu €82; dinner €90-100 pp	thefork / restaurantguru
Barcelona	Dos Pebrots	70	set menus €50 / €70 / €90; Festival €120; avg €80	thefork / mesprestiges
Barcelona	Eldelmar - Hermanos Torres	75	à la carte €€€; ~€65-70 pp; fish by weight pushes higher	thefork / eldelmarhermanostorres.com
Barcelona	Estimar	100	TheFork avg €120; other sources €80; prawns €75/plate	thefork / restaurantguru
Barcelona	L'Antiquari Gastronòmic	75	15-course "Astronòmic" €75; pairing €45	thefork / antiquarigastronomic.com
Barcelona	La Forquilla	77	tasting €77 (earlier listings €49.50-62)	thefork / michelin
Barcelona	La Taverna del Clínic	55	avg €50-60; tapas under €20 each	thefork / restaurantguru
Barcelona	Leña Barcelona	70	€70 pp grill menu; midday steak+fries €45; Experiencia Fuego €110 pp	lenarestaurants.com / thefork
Barcelona	Nairod	65	tasting €65; short menu €57; avg €65	thefork / restaurantguru
Barcelona	Nectari	86	tasting €86; lunch menu €39	nectari.es / thefork
Barcelona	Osmosis	70	tasting €70 (5c) / €80 (7c); weekday lunch €25-28	thefork / plateselector
Barcelona	Pur	130	"Essence" €129; Menu Especial €198; €100+ pp	purbarcelona.com / thefork
Barcelona	RíasKru	90	avg €70; tasting €125; ~€120 pp with wine	thefork / restaurantguru
Barcelona	Solc	50	weekday tasting €35 (+€38 pairing); avg €50; €58 pp	majestichotelgroup.com / thefork
Barcelona	Suculent	60	avg €45; set menus €70 / €90	thefork / restaurantguru
Barcelona	Taberna Noroeste	80	single surprise tasting menu €80; reports €90-100 pp	thefork / tabernanoroeste.com
Barcelona	Ten's	40	avg €40; tapas €3.90-8 each; tasting €65	thefork / infobae
Barcelona	Tram-Tram	50	tasting €39; festival €70; lunch €30; avg €50	thefork / restaurantguru
Barcelona	Tunateca Balfegó	75	avg €55 à la carte; tasting menus €95 / €117	thefork / tunatecabalfego.com
Barcelona	Ultramarinos Marín	45	listed avg €28; fish/meat by weight, reports up to €75 pp	thefork / braise.substack.com
Barcelona	Virens	85	"Tierra y Mar" tasting €85; seasonal lunch menu cheaper	virensbarcelona.com / thefork
Barcelona	Windsor	60	Barcelona Menu €55; Menú Catalunya €69; weekday €42; à la carte ~€70	restaurantwindsor.com / thefork
Barcelona	Xavier Pellicer	85	tasting €79; 5-course €85; 8-course €105	xavierpellicer.com / thefork
Barcelona	Xerta	80	seasonal lunch €55; regional €80; product €115	xertarestaurant.com / guidavera
Barcelona	Al Kostat	45	avg €35; paella €36; reports up to €100 pp	restaurantguru / guidavera
Barcelona	AÜRT	145	tasting €145 (14-16 courses, incl. tax); older avg €95	aurtrestaurant.com
Barcelona	Brabo	105	"Experiencia de Brabo" 15-course €105 (water+coffee incl.)	braborestaurante.com
Barcelona	Ca l'Isidre	80	avg €75; midweek lunch €40; dinner €80-90 pp; mains €20-35	calisidre.com / foodbarcelona
Barcelona	Carnal Steak House	70	~€70 pp; starters €28-29; Wagyu A5 120g €59	restaurantguru / guidavera
Barcelona	Coure	50	tasting €50-55 (8 courses); seasonal dinner set €35	thefork / foodbarcelona
Barcelona	Els Pescadors	60	avg €50-60; more than €50 band	elspescadors.com / restaurantguru
Barcelona	Espacio UMA	125	UMA Classic €125 (€140 chef's table); Grand Gourmet €186; pairings €68/€98	espaciouma.com
Barcelona	Granja Elena	55	avg €50; €60-70 pp reported; truffle scrambled eggs €29	restaurantguru / bcnrestaurantes
Barcelona	Gresca	50	avg €42; tasting €45.70; à la carte €50-75 pp	gresca.rest / guidavera
Barcelona	Jardín del Alma	40	avg €30; dinner menu €65	almahotels.com / thefork
Barcelona	Olivos Comida y Vinos	100	market menu €90; "Inspiration" €100-110	olivoscomidayvinos.com
Barcelona	Petit Comité Gaig	70	avg €70; à la carte or "Gran Ágape" set menu	petitcomite.cat / aldente
Barcelona	Roig Robí	68	avg €60-75; set menu €68	thefork / guidavera
Barcelona	Sato i Tanaka	50	omakase €45-55; lunch €29 (short) / €35 (long)	restaurantguru / foodieinbarcelona
Barcelona	Xemei	45	avg €40; ~€50 pp with wine; lunch €20-30	restaurantguru / timeout
Lisbon	CURA	120	Meia Cura 8-course €95; vegetarian €85; Origens 13-course higher	fourseasons.com / michelin
Lisbon	Encanto	125	tasting €95-155; wine pairing from €95; non-alc from €90	encantojoseavillez.pt / thefork
Lisbon	Feitoria	150	tasting €150-180; vegetarian 6-moment €115; pairing €80; avg €135	thefork / lisbonguide.org
Lisbon	Loco	160	avg €160; 16-moment surprise menu; +0% pairing €220	thefork / michelin
Lisbon	Marlene,	130	Menu 9 Momentos €130; Menu 12 Momentos €170	thefork / michelin
Lisbon	SÁLA de João Sá	155	tasting menus €155 and €185	michelin / facefoodmag
Lisbon	Canalha	35	avg €35; Michelin €€; blackboard daily specials	thefork / michelin
