City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description
Porto,Antiqvvm,2 Stars,,,,,,Creative,Spare no expense,4,"Rua de Entre Quintas 220, Porto, 4050-240, Portugal",+351 22 600 0445,,,https://guide.michelin.com/en/porto-region/porto/restaurant/antiqvvm,,Michelin,"There are places in the world that, simply by their location, exert a particular pull. Such is the case of Antiqvvm, set in a leafy park and a singular building beside the Museu Romântico, as well as a pleasant garden where you can enjoy a meal… with one of the most idyllic views over the Douro! In its elegant rooms, which combine classic and contemporary details with undeniable good taste, chef Vítor Matos champions creative cuisine with elegant dishes of “only apparent” simplicity that conceal an ode to the product (scarlet prawn, red mullet, caviar, sea bass, wagyu, black truffle…). In his own words, the chef, inspired by the surrounding environment, seeks to ""promote the values of a natural, cultural, evolutionary, social and artistic cuisine.” Two tasting menus are proposed, Orgânico (vegetarian) and Ensaios Sensoriais (Sensory Rehearsals) with incredible dishes such as Violet Prawn & Moqueca and the Sea Bass & Curry."
Porto,Blind,1 Star,,,,,,Creative,Spare no expense,4,"Rua de Entreparedes 40, Porto, 4000-197, Portugal",+351 22 600 1580,,,https://guide.michelin.com/en/porto-region/porto/restaurant/blind,,Michelin,"This is one of those places where you seek more than just a meal — you seek produce, flavour, technique... and a culinary experience that moves you; not surprisingly, they wanted to pay tribute to José Saramago’s famous work “Blindness” and build their ethos around three concepts that play with the senses: Feel, Touch and Provoke. This restaurant, inside the Torel Palace hotel, is overseen by Chef Vítor Matos and champion a cuisine guided by common sense, serious in presentation yet playful (some blind tastings are offered), with plating not devoid of a theatrical touch. The concept involves a single surprise tasting menu, called Blind Emotions, with two variations: one featuring 10 courses and another with 12. They may surprise you with lit butter candles, the tinkling of a Swiss cowbell, or a Polaroid photo while you’re blindfolded... Do you accept the challenge?"
Porto,dop,1 Star,,,,,,Contemporary,Spare no expense,4,"Largo de São Domingos 16, Porto, 4050-545, Portugal",+351 910 014 041,,,https://guide.michelin.com/en/porto-region/porto/restaurant/dop,,Michelin,"Set in a historic building but featuring a renovated contemporary interior, this welcoming restaurant stands out as a splendid option for a meal in the city centre, being just a few metres from the 19th-century Mercado Ferreira Borges.Award-winning chef Rui Paula (Casa de Chá da Boa Nova, in nearby Leça da Palmeira) has revamped this establishment’s concept in a more gastronomic direction, focusing solely on a tasting menu called ""Não há futuro sem memória"" (There’s No Future Without Memory) (available in 6, 10 or 14 courses). The first starters can be served at the bar at the entrance, and subsequently, in the intimate dining room, you can savour contemporary dishes with traditional roots, not without a few Asian touches introduced by Sandro Teixeira, the resident chef. A standout dish? Without a doubt, the Squid / Carbonara, considered a house classic that reinterprets the delicious tagliatelle carbonara made exclusively with squid."
Porto,Euskalduna Studio,1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Rua Santo Ildefonso 404, Porto, 4000-466, Portugal",+351 935 335 301,,,https://guide.michelin.com/en/porto-region/porto/restaurant/euskalduna-studio,,Michelin,"On a narrow street in downtown Porto, you’ll find one of those restaurants that captivates true food lovers; unsurprisingly… it can be hard to get a table! When you ring the bell, the doors open onto an intimate space brimming with personality, reminiscent of Japanese izakayas, featuring a counter opposite the kitchen where all dishes are prepared. What’s their proposition? A tasting menu that will leave no one unmoved, highlighting Chef Vasco Coelho Santos’s passion for a wide array of world cuisines. With coherence as a foundation, he pushes flavour to its limit, enabling him to work with charcoal, introduce smoky notes, use aged fish from his own fishmongers (many sourced from Azorean waters)... and pair the main ingredients with intriguing condiments, from spices to spicy herbs. The chefs, who interact a great deal with customers, always add a surprise dish not shown on the menu!"
Porto,Gastro by Elemento,1 Star,,,,,,Contemporary,Special occasion,3,"Rua Maria Adelaide Freitas Gonçalves 13, Porto, 4350-109, Portugal",+351 22 549 2399,,,https://guide.michelin.com/en/porto-region/porto/restaurant/gastro-by-elemento,,Michelin,"Just a few metres from Estádio do Dragão, chef Ricardo Dias Ferreira leans into ancestral cooking where... fire is the star of the show! Here, almost everything is prepared over fire and in the wood-fired oven (embers and low-temperature cooking also play an important role), giving the dishes a very distinctive flavour. With a minimalist feel and a U-shaped table-counter that houses the kitchen within it, the restaurant breathes an industrial air while also incorporating an elegantly decorated dining room. We recommend taking a seat at the counter to watch the entire preparation process and breathe in the aromas rising from the stoves. The offering, built around the Organic Tasting Menu by Gastro and its 15 moments, evolves with the products available each season, with a special focus on the marine world (carabineiro prawns, scallop, black hake, red mullet...). The sommelier can lift the experience even further if you fancy exploring the wine list, including options served by the glass!"
Porto,In Diferente,1 Star,,,,,,Contemporary,Special occasion,3,"Rua do Doutor Sousa Rosa 23, Porto, 4150-719, Portugal",+351 911 033 315,,,https://guide.michelin.com/en/porto-region/porto/restaurant/in-diferente,,Michelin,"This welcoming restaurant isn’t in the city centre or on the usual tourist routes, yet... it’s truly worth the visit! Angélica Salvador, the Brazilian-born chef at the helm, offers her take on traditional Portuguese and international cooking through a small menu and two contemporary-leaning tasting menus, Homenagem and In Diferente (7 and 9 moments, respectively), both with their own pairing option and the possibility of changing a dish if the diner wishes. Her concept is different and personalised, with signature details, making the most of both the wonderful fish from the Matosinhos or Aveiro fish markets and the fantastic local meats. Standout dishes? We especially enjoyed her Pescada Selvagem, wild hake, and the dessert called Maracujá, passion fruit, made with yuzu, carrot, ginger and coconut milk. The team are extremely attentive and professional!"
Porto,Le Monument,1 Star,,,,,yes,Contemporary,Spare no expense,4,"Avenida dos Aliados 151, Porto, 4000-067, Portugal",+351 22 766 2411,41.1484635,-8.6114469,https://guide.michelin.com/en/porto-region/porto/restaurant/le-monument,https://www.hotelstheone.com/pt/hoteis-porto/the-one-monumental-palace/restaurantes,Michelin; Michelin wine list,"If you feel like going on a high-flying culinary adventure, you will find a magnificent option here, as the luxurious The One Monumental Palace hotel provides the perfect setting. French chef Julien Montbabut, who already reached Michelin star status in Paris, rethinks his concept to take us on a grand culinary journey through Portugal’s various regions. He revisits each region’s classic recipes from his own perspective and lends a touch of modern cuisine and a deep respect for flavours to dishes based on native ingredients. The experience is presented in two versions: Grande viagem [“Grand Journey”] (10 courses) and Passeio [“Stroll”] (6 courses). Both come with the chef’s signature dish, Sapateira (brown crab), which combines Savora mustard and yuzu, blending sweet, acidic and marine notes in an extremely delicate presentation. To conclude the journey, allow yourself to be surprised by the delicious infusions made from herbs and plants chosen by the chef — you definitely will not regret it!"
Porto,Pedro Lemos,1 Star,,,,,yes,Contemporary,Spare no expense,4,"Rua do Ouro 258, Porto, 4150-554, Portugal",+351 22 011 5986,41.1480595,-8.6501319,https://guide.michelin.com/en/porto-region/porto/restaurant/pedro-lemos,https://www.pedrolemos.net/,Michelin; Michelin wine list,"Eating at this restaurant, facing the mouth of the Douro, is always a gratifying experience; not for nothing does it occupy a warehouse linked to the city’s naval history, and chef-owner Pedro Lemos introduces himself by saying: “If I feel I don’t fit into this world, it’s because I was born to create my own.” In this space, striking for both its minimalist atmosphere and the presence of large curtains that organise the interior (there’s a bar area where the first aperitifs are served and a beautiful main dining room), the chef champions a contemporary cuisine with strong classical roots, always elegant, using high-quality regional produce (eel, bivalves, red mullet...). Care to take a recommendation? It’s well worth visiting the wine cellar (you can choose wines that aren’t on the list) and hopping on the charming line 1 tram, which will take you along the riverbanks on a lovely route."
Porto,Vila Foz,1 Star,,,,,,Contemporary,Spare no expense,4,"Avenida De Montevideu 236, Porto, 4150-516, Portugal",+351 22 244 9700,,,https://guide.michelin.com/en/porto-region/porto/restaurant/vila-foz,,Michelin,"It will surprise you, as it occupies what was once the luxurious events room of the Vila Foz H. & SPA, an evocative 19th-century mansion located opposite Praia do Homem do Leme. Here, surrounded by elegant frames, period goldwork, original lamps and mirrors inspired by grand palatial residences, discover the gourmet cuisine of Chef Arnaldo Azevedo, who through his menus Novo Mundo (entirely vegetarian) and Maresia (more focused on Atlantic products, playing with the tides’ rhythm) champions a contemporary style of cooking that highlights the flavours of Portugal’s fantastic fish and seafood. Curious facts? In what used to be the bar, there is a counter in front of the stoves, where they also offer a far more personal, intimate, and intense option called the “Kitchen Seat” reserved exclusively for just two diners and where… the experience is enhanced by constant interaction with the chef!"
Porto,Éon,1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Rua Ricardo Severo 21, Porto, 4050-515, Portugal",+351 22 967 7008,,,https://guide.michelin.com/en/porto-region/porto/restaurant/eon,,Michelin,"At Palacete Severo, a luxurious boutique hotel surrounded by gardens and reminiscent of an art gallery (its French owners are art dealers), the renowned chef Tiago Bonito undertakes his most personal project. The space includes a bar area where aperitifs are served before moving to the table, an elegant dining room adorned with fine contemporary works beneath a stunning coffered ceiling, and an additional room used for private dining. The proposal, distinctly gastronomic in nature, revolves around a tasting menu entitled Lés a Lés, from which guests may choose 9 or 14 moments from a list of dishes. Overall, the chef champions author-driven cuisine that brings his memories to light (as in the dessert Memórias de infância - Childhood Memories) and invites us on a journey through Portugal’s traditional flavours (Pão e brioche com fermento natural (sourdough bread and brioche), Pescada de anzol (line-caught hake), Novilho nacional (Portuguese beef)…), always viewed through a contemporary lens, with refined textures and excellent broths."
