City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description,Avg_Price_EUR,Price_Detail,Price_Source,Maps_Url
Barcelona,Alkimia,1 Star,,3 Soles,,,yes,Modern Cuisine,Spare no expense,4,"Ronda San Antoni 41 - Principal, Barcelona, 08011, Spain",+34 932 07 61 15,41.3826841,2.1635878,https://guide.michelin.com/en/catalunya/barcelona/restaurant/alkimia,https://alkimia.cat/,Michelin; Michelin wine list; Guia Repsol,"Alkimia has a somewhat surprising location inside the Moritz beer factory, which has been redesigned as a gourmet complex. Once you’ve rung the bell to get in, on the first floor you’ll find two different spaces (the bistro-style Alkostat and the Alkimia restaurant itself, in front of the kitchen), both featuring attractive designer details, avant-garde references to the marine world, alongside reclaimed classical furnishings that recall the interiors of Barcelona’s former aristocratic mansions. In the gastronomic dining room, chef Jordi Vilà conjures up fresh, contemporary cuisine which is deeply rooted in Catalan tradition and has a strong focus on fish. He offers just a single tasting menu entitled Catalan Cuisine Table, divided into six sections, each of which features a good selection of dishes. We thoroughly enjoyed the maritime version of the Escudella soup, as well as the exquisite squid with egg yolk and galangal root.",188,"tasting menu €188; lunch ""La Taula del Migdia"" €110",alkimia.cat / bcnrestaurantes,https://www.google.com/maps/search/?api=1&query=Alkimia%2C%20Ronda%20San%20Antoni%2041%20-%20Principal%2C%20Barcelona%2C%2008011%2C%20Spain
Barcelona,Angle,1 Star,,2 Soles,,,,Modern Cuisine,Spare no expense,4,"Aragó 214, Barcelona, 08011, Spain",+34 932 16 77 77,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/angle,https://anglebarcelona.com/,Michelin; Guia Repsol,"Located inside the Hotel Cram, but with a separate entrance, Angle is overseen by celebrity chef Jordi Cruz. Here, guests can enjoy an aperitif and appetisers in the foyer before heading up to the dining room on the first floor, a contemporary space that exudes elegance and serenity with its striking floor lamps, wooden fixtures and fittings and heavy curtains. In the kitchen, the award-winning chef’s modern, creative blueprint is followed to the letter without any unnecessary fuss, but with great care and attention and a sense of freedom. Based around market-inspired ingredients, the cuisine is showcased on a tasting menu that features dishes from the three-starred ABaC alongside others conceived in-house. However, everything is in keeping with the restaurant's mission to create “haute cuisine for everyday consumption”. We strongly advise saving space for the dessert menu, with its vast array of textures and flavours.",80,lunch €45; menus €60 / €80 / €90,anglebarcelona.com / michelin,https://www.google.com/maps/search/?api=1&query=Angle%2C%20Arag%C3%B3%20214%2C%20Barcelona%2C%2008011%2C%20Spain
Barcelona,Atempo,1 Star,,1 Sol,,,,Modern Cuisine,Spare no expense,4,"Còrsega 200, Barcelona, 08036, Spain",+34 937 34 19 19,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/atempo-1196425,https://atemporestaurant.com/es/,Michelin; Guia Repsol,"This spacious and contemporary restaurant will surprise guests as soon as they walk through the door as they are accompanied to two kitchens, for hot and cold food respectively, in which they can try a pleasant array of appetisers and small snacks before being ushered into the elegant dining room.Chef Iñaki Aldrey offers his cuisine with the option of an à la carte menu and two tasting menus designed by celebrity chef Jordi Cruz (Atempo and Gran Atempo), showcasing contemporary cooking and techniques that aim to highlight the depth of flavours, something they succeed in here thanks to top-quality ingredients and highly consistent combinations. The interplay between the kitchen and the service in the dining room is particularly impressive, as the finishing touches to many dishes are added in front of the guests’ eyes. Try the Galician sea urchin with carabinero tartar and Ossetra caviar or the hare royale with a black garlic emulsion and roast pumpkin and white garlic cream – a French-inspired recipe combining both flavour and solid technique.",120,tasting €120 (+€60 pairing); TheFork avg €188,thefork,https://www.google.com/maps/search/?api=1&query=Atempo%2C%20C%C3%B2rsega%20200%2C%20Barcelona%2C%2008036%2C%20Spain
Barcelona,Hisop,1 Star,,2 Soles,,,,Creative,Special occasion,3,"Passatge de Marimon 9, Barcelona, 08021, Spain",+34 932 41 32 33,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/hisop,https://www.hisop.com/,Michelin; Guia Repsol,"Named after an aromatic Mediterranean plant, this Michelin-starred restaurant has been enjoying the fruits of its success for some time now, in part due to its competitive pricing.In the contemporary, minimalist-style dining room, chef Oriol Ivern serves fresh, creative dishes that offer a different take on Catalan culinary tradition, and are always based around locally sourced seasonal ingredients and impressive combinations. In keeping with the chef’s personality, the aim of his cuisine is to offer truly unique dishes that are both playful and full of surprising detail. Although not extensive, the enticing à la carte is complemented by an interesting tasting menu which evolves every three months, with a wine pairing option. Try the artichokes with cod tripe, black botifarra sausage and wakatai, an excellent combination of flavours and textures, or their signature red mullet with a mollusc mayonnaise.",85,9-course tasting €85-90 (+€110 w/ pairing),fodors / frommers,https://www.google.com/maps/search/?api=1&query=Hisop%2C%20Passatge%20de%20Marimon%209%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Hofmann,1 Star,,1 Sol,,,,Modern Cuisine,Special occasion,3,"La Granada del Penedès 14-16, Barcelona, 08006, Spain",+34 932 18 71 65,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/hofmann,https://www.hofmannrestaurante.com/,Michelin; Guia Repsol,"This institution in the upper reaches of Barcelona, which has played host to a number of chefs who have gone on to win their own Michelin stars, reflects the love affair that its founder chef, Mey Hofmann, had with food, a legacy that she has passed down to her daughter Silvia and her expert teaching staff. In the restaurant itself, featuring staff from the school and a large picture window through which guests can watch activity unfold in the kitchen, an à la carte-style menu is available at lunchtime (along with a slightly more refined Gastronómico Mediodía menu). In the evening, these are replaced by two extensive tasting menus (Gastronómico Noche and Luxury). The focus here is on modern fusion cuisine with strong roots in tradition, which is continually brought up to date in terms of the pairing of ingredients, technique and presentation. The desserts here are always a delight!",70,avg €70; 6-course dinner €91,thefork / restaurantguru,https://www.google.com/maps/search/?api=1&query=Hofmann%2C%20La%20Granada%20del%20Pened%C3%A8s%2014-16%2C%20Barcelona%2C%2008006%2C%20Spain
Barcelona,Moments,1 Star,,2 Soles,,,yes,Creative,Spare no expense,4,"Passeig de Gràcia 38-40, Barcelona, 08007, Spain",+34 931 51 87 81,41.3911693,2.1664829,https://guide.michelin.com/en/catalunya/barcelona/restaurant/moments,https://www.mandarinoriental.com/es-es/barcelona/passeig-de-gracia/dine/moments,Michelin; Michelin wine list; Guia Repsol,"The fine-dining restaurant at the Mandarin Oriental Barcelona hotel is run by Raül Balam, son of the legendary chef Carme Ruscalleda. In addition to his own undeniable individual talent, you’ll note several culinary traits he has inherited from his mother.Dominated by amber and gold tones, the modern dining space also features a window through which it’s possible to watch the team at work in the kitchen. The neo-traditional cuisine here showcases the underlying creativity of time-honoured Catalan traditions, healthy Mediterranean produce, and the intrinsic distinctiveness of every flavour... all brought together on two set menus (one seasonal and another, more extensive tasting menu) that change with each season and work with the best seasonal ingredients. According to the chef, each ingredient reflects the profound connection with the soil and those who work it, giving rise to dishes created with great precision and a unique objective. Excellent service and a great wine list, with more than 600 labels!",143,tasting €125-143; TheFork avg €190,thefork / mandarinoriental,https://www.google.com/maps/search/?api=1&query=Moments%2C%20Passeig%20de%20Gr%C3%A0cia%2038-40%2C%20Barcelona%2C%2008007%2C%20Spain
Barcelona,Prodigi,1 Star,,1 Sol,,,,Modern Cuisine,Special occasion,3,"Girona 145, Barcelona, 08037, Spain",+34 936 79 15 92,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/prodigi,https://www.prodigi.cat/,Michelin; Guia Repsol,"The first thing to attract your attention at Prodigi is its name, created from the first syllable of three neighbouring streets (Provença, Diagonal and Girona).In this contemporary-style restaurant, the à la carte remains faithful to seasonal ingredients despite its concise nature and extols the virtues of traditional Catalan cuisine which it has successfully brought up to date. It is complemented by two set menus (one a three-course meal only available at lunchtime during the week, and a second more extensive tasting menu-style option). Chef Jordi Tarré, who is renowned for his highly elegant dishes with a traditional base and nuanced international influences, is constantly looking to surprise his diners, which is why he changes up the dishes depending on the season. On our last visit, we really liked his squid and sobrassada rice with squid and lime slices, wasabi emulsion and marine sprouts!",95,tasting €95; lunch 3-course €45; pairing €45,thefork / restaurantguru,https://www.google.com/maps/search/?api=1&query=Prodigi%2C%20Girona%20145%2C%20Barcelona%2C%2008037%2C%20Spain
Barcelona,Quirat,1 Star,,1 Sol,,,,Contemporary,Spare no expense,4,"Avenida de Rius I Taulet 1, Barcelona, 08004, Spain",+34 934 26 22 23,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/quirat,https://quiratrestaurant.com/,Michelin; Guia Repsol,"The gourmet restaurant at the Intercontinental Barcelona is another example of a hotel keen to diversify its services for guests by transforming itself into a foodie destination in its own right. Quirat, which has its own independent entrance (as well as access via the lobby), represents, in its own words, “the purity and wealth of the elements that form the land”. Chef Víctor Torres, who is renowned for his cuisine at the Michelin-starred Les Magnòlies in Arbúcies, creates contemporary Catalan cuisine that always showcases locally sourced ingredients while at the same time fully respecting seasonality. Dishes here are full of depth and flavour, with simplicity only evident in his sauces and reductions. Highlights on the menu include Maresme peas with onion soup and sea urchin; artichoke, romesco sauce and Mas Farró cheese; and “cap i pota” stew with sea cucumber – dishes that Víctor Torres views as tiny jewels, hence the naming of his menus 18K and 24K. The hotel even has its own kitchen garden.",135,18K €110 / 24K €160; avg €125,thefork / jre.eu,https://www.google.com/maps/search/?api=1&query=Quirat%2C%20Avenida%20de%20Rius%20I%20Taulet%201%2C%20Barcelona%2C%2008004%2C%20Spain
Barcelona,Via Veneto,1 Star,,2 Soles,,,yes,Classic Cuisine,Spare no expense,4,"Ganduxer 10, Barcelona, 08021, Spain",+34 932 00 72 44,41.3924041,2.1388292,https://guide.michelin.com/en/catalunya/barcelona/restaurant/via-veneto,https://www.viavenetobarcelona.com/,Michelin; Michelin wine list; Guia Repsol,"Almost everyone in Barcelona is aware of the legendary culinary status of Via Veneto! Even after half a century of service and change, the Monje family has retained the true values of this restaurant that seems anchored in the past, but which has been able to move with the times without losing an ounce of its personality. To an elegant and genuine Belle Époque backdrop, young chef David Andrés maintains the culinary status quo here through cuisine that underpins its classical heritage, albeit with a focus on a more modern technical approach and a select array of ingredients. Delicious game dishes (hare royale, red partridge with stewed cabbage, loin of venison etc) are also on the menu in season. Guests can visit the superb wine cellar, 6m underground, which boasts an outstanding collection of Spanish and French wines. A favourite dish here is the pressed roast duck cooked in its own jus and served two ways (for a minimum of two guests) which has featured on the menu since 1967!",80,avg €80; mains €28-50; tasting €90,restaurantguru / frommers,https://www.google.com/maps/search/?api=1&query=Via%20Veneto%2C%20Ganduxer%2010%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Avenir,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Carrer de l'Avenir 72, Barcelona, 08021, Spain",+34 691 90 71 38,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/avenir,https://avenir.restaurant/,Michelin,"In this simple establishment, reminiscent of a charming taberna, it is impossible to leave disappointed due to the friendliness of its service and a philosophy that focuses on the fine detail of its cuisine. It is run by its two owners (Roger Viñas and Chesco Salrach) who, as fate would have it, became friends at their children’s school and decided to embark on this venture together with the former working in the kitchen, and the latter in the dining room. Here they champion contemporary cuisine, with nods to both the sea and the mountains, where different techniques, good textures and a great mastery of broths can be appreciated. The menu, with options for pescatarians and open to sharing, focuses on three tasting menus: Tastets de l'Avenir (set lunch menu, only on weekdays), La Barra de l'Avenir (15 courses) and another, more complete, called L'Avenir (19 courses). We loved their Seda-Setas-Escabeche, their Catalan interpretation of Mochi!",35,weekday lunch €32.95; pescatarian menu €82.50; avg €35,thefork / avenir.restaurant,https://www.google.com/maps/search/?api=1&query=Avenir%2C%20Carrer%20de%20l%27Avenir%2072%2C%20Barcelona%2C%2008021%2C%20Spain
