Province,Province_Code,Name
Alicante,alc,Abiss. Solymar Gran Hotel
Alicante,alc,Alasazón. Hotel Serawa Alicante
Alicante,alc,Alfonso Restaurante
Alicante,alc,Alma de Barra
Alicante,alc,Amas. Hotel AR Diamante Beach
Alicante,alc,Asador Ilicitano
Alicante,alc,Audrey's. Hotel Ar Diamante Beach
Alicante,alc,Auroch
Alicante,alc,Ausiàs
Alicante,alc,Azul
Alicante,alc,Bar Manero Balmis
Alicante,alc,Beat. The Cookbook Hotel & Spa
Alicante,alc,Bigoli
Alicante,alc,Bocarriba Cocina
Alicante,alc,Bodega Restaurante Casa Sicilia
Alicante,alc,BonAmb
Alicante,alc,Borg Raíces y Alas
Alicante,alc,Béton Brut
Alicante,alc,Ca Joan
Alicante,alc,Ca Marta
Alicante,alc,Cachito Restaurant
Alicante,alc,Casa Bernardi
Alicante,alc,Casa Coco Santa Pola
Alicante,alc,Casa Pachell
Alicante,alc,Casa Pepa
Alicante,alc,Casa Riquelme
Alicante,alc,Casa Segis
Alicante,alc,Casa Tomás Restaurante
Alicante,alc,Cervecería El Cantó
Alicante,alc,Cervecería Max
Alicante,alc,Chaflán O'Donell
Alicante,alc,Ché Ragazzi
Alicante,alc,Cisoria Restaurante
Alicante,alc,César Anca
Alicante,alc,Dársena
Alicante,alc,El Abeto
Alicante,alc,El Baret de Miquel Ruiz
Alicante,alc,El Carreter
Alicante,alc,El Cranc Chiringuito
Alicante,alc,El Faralló
Alicante,alc,El Frontón Restaurante
Alicante,alc,El Granaíno
Alicante,alc,El Marino Port
Alicante,alc,El Meloso
Alicante,alc,El Norte Euskal Jatetxea
Alicante,alc,El Pony
Alicante,alc,El Portal
Alicante,alc,El Xato i Cristina Figueira
Alicante,alc,Enso Sushi
Alicante,alc,Espacio Montoro
Alicante,alc,Fetén
Alicante,alc,Finca Santa Luzia
Alicante,alc,Flamingo English Bar
Alicante,alc,Fondillón Restaurante. Hotel Hospes Amérigo
Alicante,alc,Frattelli Pazzi
Alicante,alc,Frisone
Alicante,alc,Gastronómica Egun
Alicante,alc,Gema Penalva Resto-Bar
Alicante,alc,Hogar del Pescador
Alicante,alc,Isabel Pedrera
Alicante,alc,J Gourmet
Alicante,alc,J Gourmet Castaños
Alicante,alc,Kitagawa
Alicante,alc,Koiné Bistró
Alicante,alc,Komfort. The Cookbook Hotel & Spa
Alicante,alc,L'Escaleta
Alicante,alc,L'Olleta Club del Mar
Alicante,alc,La Bienservida
Alicante,alc,La Casa del Reloj
Alicante,alc,La Cierva
Alicante,alc,La Ereta
Alicante,alc,La Finca
Alicante,alc,La Gamba
Alicante,alc,La Marmita Alicantina
Alicante,alc,La Masía de Chencho
Alicante,alc,La Perla de Jávea
Alicante,alc,La Sirena
Alicante,alc,La Taberna del Gourmet San Fernando
Alicante,alc,La Taverna Racó del Pla
Alicante,alc,La Vaquería
Alicante,alc,Le Sol Restaurant
Alicante,alc,Lolo Restaurante
Alicante,alc,Los Troncos
Alicante,alc,Lula by Aurora Torres
Alicante,alc,Maestral Restaurante
Alicante,alc,Mare
Alicante,alc,Mesón Maigmó
Alicante,alc,Mesón Marinero
Alicante,alc,Misto. La Finca Resort
Alicante,alc,Moments Bar
Alicante,alc,Monastrell
Alicante,alc,Natsu Ramen
Alicante,alc,Nou Manolín
Alicante,alc,Nou Palas
Alicante,alc,Obrador Peccati di Gola
Alicante,alc,Onami
Alicante,alc,One One
Alicante,alc,Open
Alicante,alc,Orma
Alicante,alc,Orobianco
Alicante,alc,Ostrarium Bar
Alicante,alc,Paco Gil
Alicante,alc,Peix i Brases
Alicante,alc,Plëgat
Alicante,alc,Pocardy Restaurant. Hotel Almirante
Alicante,alc,Pont Sec
Alicante,alc,Puerto Madero
Alicante,alc,Puntapiedra
Alicante,alc,Quique Dacosta Restaurant
Alicante,alc,Racó d'Anna
Alicante,alc,Regina
Alicante,alc,Restaurante Andra Mari
Alicante,alc,Restaurante Baeza & Rufete
Alicante,alc,Restaurante Bar Quintín
Alicante,alc,Restaurante Batiste
Alicante,alc,Restaurante Casa Pepe
Alicante,alc,Restaurante Convistas. Hotel Alicante Gran Sol
Alicante,alc,Restaurante Elías
Alicante,alc,Restaurante La Peña
Alicante,alc,Restaurante Mar Azul
Alicante,alc,Restaurante Mi Casa Alicante
Alicante,alc,Restaurante Piripi
Alicante,alc,Restaurante Pulpería Narcea
Alicante,alc,Restaurante Santi
Alicante,alc,Restaurante Toch
Alicante,alc,Restaurante Xiri
Alicante,alc,Santabar
