Year,Placing,Name,Locality,Note
2019,winner,O Frade,Lisboa,Prémio Especial César Castro Mesa Diária
2020,winner,O Velho Eurico,Lisboa,Mesa Diária
2021,winner,O Velho Eurico,Lisboa,Prémio Especial César Castro Mesa Diária
2022,winner,O Velho Eurico,Lisboa,Prémio Especial Queijo São Jorge DOP Mesa Diária - 3rd consecutive
2023,winner,Canalha,Lisboa,Prémio Especial Queijo São Jorge DOP Mesa Diária
2024,winner,Taberna Os Papagaios,Lisboa,Prémio Especial Queijo São Jorge DOP Mesa Diária - Joaquim Leal
2025,winner,Tati,Lisboa,Prémio Especial Mesa Diária
2025,nominee,O Velho Eurico,Lisboa,nominee
2025,nominee,Taberna Lura,Baião,nominee
2025,nominee,Tati,Lisboa,nominee
2025,nominee,Vida de Tasca,Lisboa,nominee
