Year,Placing,Name,Locality,Note
2009,1st,Pastelaria Cristal,,confirmed
2010,1st,Pastelaria Suíça,,confirmed
2011,1st,Chique de Belém,,confirmed
2012,1st,Pastelaria Aloma,Lisboa,confirmed
2013,1st,Pastelaria Aloma,Lisboa,confirmed
2014,1st,UNKNOWN,,GAP - not found in public sources
2015,1st,Pastelaria Aloma,Lisboa,confirmed
2016,1st,UNKNOWN,,GAP - not found in public sources
2017,1st,UNKNOWN,,GAP - not found in public sources
2018,1st,UNKNOWN,,GAP - not found in public sources
2019,1st,Pastelaria Santo António,Lisboa (Castelo),confirmed - 11th edition
2020,—,NO EDITION,,inferred from edition numbering (COVID)
2021,1st,Padaria da Né,Damaia,confirmed
2022,1st,Casa do Padeiro,Pontinha,confirmed - 13th edition
2023,1st,Confeitaria Glória,Amadora,confirmed
2023,2nd,Padaria da Né,Damaia,confirmed
2023,3rd,O Pãozinho das Marias,Ericeira,confirmed
2024,1st,Pastelaria Aloma,Lisboa,confirmed
2025,1st,Pastelaria Aloma,Lisboa (Campo de Ourique),confirmed - 5th Aloma win
2025,2nd,O Pãozinho das Marias,Ericeira,confirmed
2025,3rd,Confeitaria Glória,Amadora,confirmed
2026,finalist,Casa do Padeiro,Odivelas,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Casa Negrito,Vila Nogueira de Azeitão,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Castro – Atelier de Pastéis de Nata,Lisboa,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Confeitaria Glória,Amadora,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Nat'elier,Lisboa,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,O Pãozinho das Marias,Ericeira,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Panicoelho,Rio de Mouro,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Pastelaria 7Desejos,Ericeira,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Pastelaria Aloma,Lisboa,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Pastelaria Taigui,Lisboa,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Pastelaria Tinoco,Linda-a-Velha,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
2026,finalist,Pastelaria Viriato,Odivelas,"final 2026-09-28, Jardins Marquês de Pombal, Oeiras - result pending"
