name,post_office,description,menu,address,phone,hours,page
부광돼지국밥,부산우체국(부산 중구 서구 지역),3대에 걸쳐 40여 년을 영업 중인 전통방식의 부산대표 돼지국밥 맛집,"돼지국밥 \9,000ㅣ수육 \25,000/30,000",부산광역시 중구 대청로 141번길 15-1,051-466-1708,09:30-20:00 일요일 명절휴무,5
다무치아,부산우체국(부산 중구 서구 지역),이탈리안 레스토랑 맛집으로 직접 기른 바질로 만든 바질페스토 파스타가 시그니쳐!,"바질페스토 파스타 \15,000ㅣ감바스&오일파스타 \17,000ㅣ코스요리 \50,000",부산광역시 중구 대청로135번길 13-1 3층,051-908-9007,월-금 11:30-21:00 토 12:00-20:30 일요일 정기휴무,5
기와집,부산우체국(부산 중구 서구 지역),"가정집을 닮은 분위기에 깔끔한 밑반찬, 강렬하진 않지만 진함이 있는 송이버섯 한식집","자연송이불고기(100g) \12,000ㅣ자연송이전골(100g) \10,000",부산광역시 중구 대청로 137번길 7-2,051-466-5550,10:00-21:30 연중무휴,5
강가면옥,부산우체국(부산 중구 서구 지역),냉면과 보쌈정식이 맛있고 가격대비 퀄리티가 훌륭하여 가성비와 맛을 모두잡음!,"물/비빔 냉면 \9,000ㅣ보쌈정식 \10,000",부산광역시 중구 대청로 137번길 11,0507-1456-1266,11:00-15:00 / 16:30-22:00 일요일 명절휴무,5
본전집,부산우체국(부산 중구 서구 지역),오래된 삼겹살 맛집으로 매장이 넓고 직접 담은 김치 등 밑반찬도 맛있는 친절한 맛집!,"생삼겹살 120g \11,000",부산광역시 중구 해관로 82,051-467-3211,월-금 10:00-23:00 토 10:00-21:00 일요일 명절휴무,6
미도리우동,부산우체국(부산 중구 서구 지역),보수동에 위치 저렴한 가격과 깔끔한 맛으로 동네 주민들의 사랑을 받는 맛집!,"돌냄비우동 \6,500ㅣ튀김우동 \6,000ㅣ우동 \5,500ㅣ모밀국수 \6,000",부산광역시 중구 흑교로45번길 10-1,0507-1477-8247,11:00-15:00 일요일 휴무(토요일 유동적 휴무),6
웨이아웃,부산우체국(부산 중구 서구 지역),감각적인 소품들과 향기로은 커피향을 느낄 수 있는 감성 가득 카페,"커피 \2,000~ㅣ스무디 \4,000~",부산광역시 서구 구덕로193번길 8,0507-1457-9660,07:00-18:00 토·일요일 휴무,6
동래할매파전,동래우체국,4대째 이어온 장인의 손맛! 조선시대 동래부사가 임금님께 진상했다는 동래파전,"동래파전 소 \28,000 대 \40,000ㅣ뚜미상 1인 \35,000 뚜기상 1인 \40,000",부산광역시 동래구 명륜로94번길 43-10,051-552-0792,11:30-15:00 17:00-22:00 매주 월요일 화요일 정기휴무,6
수안커피컴퍼니,동래우체국,오롯이 커피만을 위한 시간과 공간! 맛은 물론 바라보는 즐거움까지!,"고메 플레이트 아메리카노 \11,000ㅣ고메 플레이트 라떼 \13,000",부산광역시 동래구 충렬대로256번길 32,,11:00-19:00 18:30 라스트오더,7
동래밀면,동래우체국,부산하면 밀면! BTS도 다녀간 동래의 밀면 맛집!,"밀면 \9,000 비빔밀면 \9,000ㅣ왕만두 \7,000ㅣ들깨손칼국수 \10,000",부산광역시 동래구 명륜로 47,051-552-3092,10:00-24:00,7
